compression_number,z_value,ms,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,ax3,ay3,az3,gx3,gy3,gz3,ax4,ay4,az4,gx4,gy4,gz4
1,95.0,983874,0.402226,0.35913,-11.597513,-0.000133,-0.003864,-0.031709,0.263362,-0.402226,-11.291056,-0.012524,0.012257,-0.033708,-0.430956,-0.311246,-11.659762,-0.045165,-0.006795,-0.020518,-0.579397,0.258574,-11.57836,-0.027046,-0.006262,-0.003864
1,95.0,983943,0.35913,0.35913,-11.453861,0.000133,-0.002265,-0.030776,0.196325,-0.363919,-11.267113,-0.008127,0.011058,-0.031043,-0.445322,-0.272939,-11.674128,-0.042368,-0.005462,-0.018919,-0.608127,0.287304,-11.540052,-0.023449,-0.005729,-0.001865
1,95.0,984012,-0.775721,0.162806,-11.899182,-0.022783,0.07341,-0.027712,-1.201889,-0.603339,-11.654974,-0.008127,0.057023,-0.040636,-1.92015,-0.368707,-11.401189,-0.076608,0.065816,-0.022383,-2.284068,0.191536,-10.931925,-0.035839,0.082737,0.000933
1,95.0,984081,0.387861,0.3304,-11.951855,0.010259,-0.003331,-0.019585,0.196325,-0.45011,-11.305421,0.000799,0.01319,-0.022516,-0.56982,-0.378284,-11.616667,-0.045032,0.012923,-0.009459,-0.742203,0.062249,-11.611878,-0.022516,0.003198,0.008127
1,95.0,984150,0.684742,0.502782,-11.348516,0.021317,-0.019851,-0.02638,0.493206,-0.301669,-11.180922,0.006662,0.000133,-0.023982,-0.124498,-0.306458,-12.339716,-0.011991,0.018652,-0.014256,-0.301669,0.23942,-12.243947,-0.01319,0.011858,0.003064
1,95.0,984219,1.249773,0.45011,-11.247959,0.021317,-0.011724,-0.029844,1.086968,-0.339977,-11.401189,-0.014123,0.010925,-0.027446,0.311246,-0.296881,-11.832145,-0.029178,-0.033175,-0.014522,0.11971,0.215478,-12.162544,-0.002531,-0.045965,-0.001332
1,95.0,984288,-0.402226,0.430956,-11.36767,0.014389,-0.022649,-0.033308,-0.383072,-0.277727,-11.822568,-0.023049,-0.026779,-0.02638,-0.847547,-0.129287,-11.860875,-0.007194,-0.029044,-0.014256,-0.92895,0.45011,-11.631032,-0.032908,-0.05196,-0.001066
1,95.0,984357,0.603339,0.368707,-11.587936,0.010525,-0.007727,-0.033175,0.35913,-0.397437,-11.128249,-0.007061,0.003064,-0.032642,-0.258574,-0.354342,-11.69807,-0.041435,-0.007594,-0.021583,-0.344765,0.225055,-11.707646,-0.030377,-0.005462,-0.006528
1,95.0,984426,0.316035,0.339977,-11.602302,-0.004263,0.001998,-0.031842,0.143652,-0.430956,-11.324574,-0.014522,0.017054,-0.03544,-0.502782,-0.339977,-11.664551,-0.04823,-0.004263,-0.021184,-0.675165,0.196325,-11.573571,-0.028911,-0.005862,-0.003864
1,95.0,984495,0.430956,0.368707,-11.573571,0.002665,-0.007061,-0.031309,0.263362,-0.397437,-11.295844,-0.010658,0.011458,-0.032908,-0.378284,-0.301669,-11.683704,-0.043034,-0.005862,-0.019452,-0.560243,0.268151,-11.616667,-0.025314,-0.007727,-0.002665
